dataset,fold,n_features,train_score,val_score,test_score,metric
mimic,2,1,0.9890465827828704,0.804274834044571,0.836190137505927,auc
mimic,2,2,0.9914080381390604,0.8125726055002371,0.8458985301090565,auc
mimic,2,3,0.9945106910332888,0.8205532835467045,0.8353010905642485,auc
mimic,2,4,0.9949761630871768,0.8250088904694168,0.8382349454717875,auc
mimic,2,5,0.996162079148038,0.8264417377904221,0.8455903271692746,auc
mimic,2,6,0.9962287869264612,0.8281605618776673,0.8391121384542437,auc
mimic,2,7,0.9975214354328,0.8308736367946894,0.8419155998103366,auc
mimic,2,8,0.9984583091208804,0.83636646514936,0.8529575628259839,auc
mimic,2,9,0.9981040166976982,0.8389284020862968,0.8482100521574206,auc
mimic,3,1,0.997712664397614,0.8344224158368895,0.7930357989568515,auc
mimic,3,2,0.998796295198226,0.8381371503082029,0.7979551920341396,auc
mimic,3,3,0.9983486118852508,0.8443901137980085,0.7994547178757705,auc
mimic,3,4,0.9992187777949076,0.8466423660502608,0.7969713134186818,auc
mimic,3,5,0.9991713411524732,0.8490072309151258,0.8069464201043149,auc
mimic,4,1,0.9968573224387178,0.8283694879089616,0.7916607396870554,auc
mimic,4,2,0.9959990156896694,0.8352270033191086,0.7998518255097202,auc
mimic,4,3,0.9959649206029196,0.8409998814604078,0.7971550497866288,auc
mimic,4,4,0.9971730725899222,0.8419067093409199,0.7913525367472735,auc
mimic,4,5,0.9976237206930494,0.8482574679943102,0.8035324798482694,auc
mimic,4,6,0.9982344674643928,0.8528330962541487,0.8054943100995733,auc
mimic,5,1,0.9943930772878142,0.8148604196301565,0.8115760624540257,auc
mimic,5,2,0.996889817449028,0.8249140587956378,0.8239505967776379,auc
mimic,5,3,0.9962941559981032,0.827350047415837,0.8134862254704222,auc
mimic,5,4,0.9950939426268374,0.8304202228544333,0.8107099636950382,auc
mitbih,1,1,0.8634819108534879,0.8576889444097439,0.8611902263528707,accuracy
mitbih,1,2,0.9390615630621627,0.9316427232979387,0.9336930994853345,accuracy
mitbih,1,3,0.9743154107535479,0.9639725171767646,0.9651726377854395,accuracy
mitbih,1,4,0.9821856885868478,0.9724921923797627,0.9734172787688002,accuracy
mitbih,1,5,0.9871826903857686,0.9774141161773892,0.9788637385699296,accuracy
mitbih,1,6,0.9913551868878673,0.980836976889444,0.981462049667716,accuracy
mitbih,1,7,0.9938786727963222,0.9832354778263586,0.9842102633288362,accuracy
mitbih,1,8,0.9954777133719768,0.9849094316052467,0.9843601658921701,accuracy
mitbih,1,9,0.9962772336598041,0.9855340412242348,0.9848098735821715,accuracy
mitbih,1,10,0.9969268438936638,0.9865334166146159,0.9854594513566182,accuracy
mitbih,1,11,0.9973266040375774,0.9870580886945659,0.9869085094688452,accuracy
mitbih,1,12,0.9978263042174695,0.9878575890068707,0.987208314595513,accuracy
mitbih,1,13,0.9981261243254047,0.9879075577763897,0.9875081197221806,accuracy
