dataset,variant,fold,score,n_features,time,metric,test_subject
azt1d_s8,decision_tree,1,37.25339680669974,13,16.529567003250122,rmse,
azt1d_s8,n_trials_1000,1,35.56644116962843,11,123.06478691101074,rmse,
azt1d_s8,raw_only,1,35.14451668246431,16,51.71339416503906,rmse,
azt1d_s8,nsga2,1,35.26149650052404,16,46.157382011413574,rmse,
azt1d_s8,parallel,1,35.688860222106356,12,8.044025182723999,rmse,
azt1d_s9,resampling,1,32.15555537405818,10,31.115206241607662,rmse,
azt1d_s9,aggregate,1,30.178467873947017,16,56.98210120201111,rmse,
azt1d_s9,pattern,1,31.701983238439965,20,84.29338765144348,rmse,
azt1d_s9,decision_tree,1,34.78124731598081,17,25.764162063598633,rmse,
azt1d_s9,n_trials_1000,1,31.812368345861422,12,144.43617987632751,rmse,
azt1d_s9,raw_only,1,31.85432575746135,13,42.323559045791626,rmse,
azt1d_s9,nsga2,1,32.02321341982167,10,26.816330909729004,rmse,
azt1d_s9,parallel,1,31.277583430486867,12,8.159524917602539,rmse,
azt1d_s10,resampling,1,33.695165539277596,11,37.27322506904602,rmse,
azt1d_s10,aggregate,1,33.77008318984954,16,60.42466497421265,rmse,
azt1d_s10,pattern,1,32.01094140823612,11,41.16110587120056,rmse,
azt1d_s10,decision_tree,1,31.968975477625175,14,20.264459133148193,rmse,
azt1d_s10,n_trials_1000,1,32.265379462883296,13,168.17208409309387,rmse,
azt1d_s10,raw_only,1,32.527184325047834,12,40.5003080368042,rmse,
azt1d_s10,nsga2,1,32.579979434302054,15,49.80987906455994,rmse,
azt1d_s10,parallel,1,31.355955455943786,12,8.33630895614624,rmse,
azt1d_s11,resampling,1,35.02709362241679,10,34.24633479118347,rmse,
azt1d_s11,aggregate,1,34.505715634233134,18,71.4635751247406,rmse,
azt1d_s11,pattern,1,34.40953272801289,15,64.36690711975098,rmse,
azt1d_s11,decision_tree,1,35.30927526715718,10,13.810188055038452,rmse,
azt1d_s11,n_trials_1000,1,34.63186873895252,15,209.27233409881592,rmse,
azt1d_s11,raw_only,1,34.36067842523824,11,37.16562604904175,rmse,
azt1d_s11,nsga2,1,34.76415336938547,11,33.11221981048584,rmse,
azt1d_s11,parallel,1,34.341851363188404,12,8.671158075332642,rmse,
azt1d_s12,resampling,1,27.518173063053673,8,25.88281011581421,rmse,
azt1d_s12,aggregate,1,28.2227459202505,10,34.34004807472229,rmse,
azt1d_s12,pattern,1,27.07880730130401,19,88.1172251701355,rmse,
azt1d_s12,decision_tree,1,28.360973339481394,20,34.867758989334106,rmse,
azt1d_s12,n_trials_1000,1,27.843611101131863,20,308.2211320400238,rmse,
azt1d_s12,raw_only,1,27.9761786983979,11,37.30158591270447,rmse,
azt1d_s12,nsga2,1,26.93651591854491,11,33.53135299682617,rmse,
azt1d_s12,parallel,1,27.3838005345707,12,8.68140697479248,rmse,
azt1d_s13,resampling,1,20.2231488258704,8,25.690521240234375,rmse,
azt1d_s13,aggregate,1,19.185850948680834,12,42.112586975097656,rmse,
azt1d_s13,pattern,1,19.23070077402273,14,58.80535888671875,rmse,
azt1d_s13,decision_tree,1,20.71100848724659,13,19.533605813980103,rmse,
azt1d_s13,n_trials_1000,1,19.44954436333493,19,287.0472660064697,rmse,
azt1d_s13,raw_only,1,19.51418306390703,11,38.3364942073822,rmse,
azt1d_s13,nsga2,1,19.922140894468313,17,61.249192237854,rmse,
azt1d_s13,parallel,1,19.67031078491812,12,8.690061092376709,rmse,
azt1d_s15,resampling,1,33.36308789593326,9,33.332823038101196,rmse,
